# Organism: H. sapiens
# Application version: 3.4.0
# Database version: 16 October 2014 00:00:00
# Network generated on: 12 July 2016
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
APLP1	APBB1	0.006193557	Co-expression	Wang-Maris-2006
APOA2	LIPC	0.024212735	Co-expression	Ramaswamy-Golub-2001
APBA2	LDLRAP1	0.020332225	Co-expression	Salaverria-Siebert-2011
APOA1	APOA4	0.010644433	Co-expression	Salaverria-Siebert-2011
APOC3	APOA4	0.01370014	Co-expression	Salaverria-Siebert-2011
APOC3	APOA1	0.011868015	Co-expression	Salaverria-Siebert-2011
APOA4	LIPC	0.022590624	Co-expression	Mallon-McKay-2013
APOA1	APOE	0.010258142	Co-expression	Mallon-McKay-2013
APOA1	LIPC	0.01201118	Co-expression	Mallon-McKay-2013
APOA1	APOA4	0.011265367	Co-expression	Mallon-McKay-2013
APOC2	APOA5	0.015093269	Co-expression	Mallon-McKay-2013
APOC2	LIPC	0.024938356	Co-expression	Mallon-McKay-2013
APOC2	APOA4	0.02208014	Co-expression	Mallon-McKay-2013
APOC2	APOA1	0.012511285	Co-expression	Mallon-McKay-2013
APOC3	APOA5	0.013366764	Co-expression	Mallon-McKay-2013
APOC3	LIPC	0.015635496	Co-expression	Mallon-McKay-2013
APOC3	APOA4	0.015387161	Co-expression	Mallon-McKay-2013
APOC3	APOA1	0.010429403	Co-expression	Mallon-McKay-2013
APOC3	APOC2	0.021007515	Co-expression	Mallon-McKay-2013
APOA2	APOE	0.012401334	Co-expression	Mallon-McKay-2013
APOA2	APOA1	0.011267917	Co-expression	Mallon-McKay-2013
LIPC	APOA5	0.010428039	Co-expression	Roth-Zlotnik-2006
APOC2	APOE	0.02123632	Co-expression	Roth-Zlotnik-2006
APOC2	LIPC	0.0130099645	Co-expression	Roth-Zlotnik-2006
APOC3	APOA5	0.010980263	Co-expression	Roth-Zlotnik-2006
APOC3	APOA1	0.01461715	Co-expression	Roth-Zlotnik-2006
APOC3	APOC2	0.014366636	Co-expression	Roth-Zlotnik-2006
APBB1	APBA2	0.003951199	Co-expression	Roth-Zlotnik-2006
