# Organism: H. sapiens
# Application version: 3.4.0
# Database version: 16 October 2014 00:00:00
# Network generated on: 11 July 2016
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
BRCA1	BRCA2	0.016032586	Co-expression	Wang-Maris-2006
RPL5	RPL11	0.01201992	Co-expression	Wang-Maris-2006
TP53	RAD51	0.02219107	Co-expression	Wang-Maris-2006
ATR	SHFM1	0.017943453	Co-expression	Wang-Maris-2006
PSMC3IP	BRCA2	0.013226044	Co-expression	Wang-Maris-2006
PSMC3IP	TOPBP1	0.009185821	Co-expression	Wang-Maris-2006
BRCA1	BRCA2	0.006613272	Co-expression	Ramaswamy-Golub-2001
RPL11	CCNG1	0.008610887	Co-expression	Ramaswamy-Golub-2001
TP53	TOPBP1	0.012140612	Co-expression	Ramaswamy-Golub-2001
ATR	TP53BP1	0.0070785447	Co-expression	Ramaswamy-Golub-2001
ATR	TP53	0.01018524	Co-expression	Ramaswamy-Golub-2001
MDM4	BRCA2	0.013240906	Co-expression	Bild-Nevins-2006 B
RPL5	RPL11	0.009808553	Co-expression	Bild-Nevins-2006 B
BARD1	TOPBP1	0.015690953	Co-expression	Bild-Nevins-2006 B
TP53	MDM4	0.016492013	Co-expression	Bild-Nevins-2006 B
ATR	TOPBP1	0.017046396	Co-expression	Bild-Nevins-2006 B
BRCA1	BRCA2	0.018503262	Co-expression	Salaverria-Siebert-2011
DMC1	BRCA2	0.01973854	Co-expression	Salaverria-Siebert-2011
DMC1	RAD51	0.027045947	Co-expression	Salaverria-Siebert-2011
TOPBP1	BRCA2	0.008506616	Co-expression	Salaverria-Siebert-2011
TOPBP1	DLG1	0.009520645	Co-expression	Salaverria-Siebert-2011
BRIP1	DMC1	0.021664515	Co-expression	Salaverria-Siebert-2011
RPL5	RPL11	0.012745534	Co-expression	Salaverria-Siebert-2011
BARD1	DMC1	0.013141291	Co-expression	Salaverria-Siebert-2011
BARD1	BRIP1	0.013702278	Co-expression	Salaverria-Siebert-2011
ATR	TOPBP1	0.0064827395	Co-expression	Salaverria-Siebert-2011
BRCA1	BRCA2	0.010177884	Co-expression	Burington-Shaughnessy-2008
RAD51	BRCA1	0.015312189	Co-expression	Burington-Shaughnessy-2008
RPL5	RPL11	0.0057410034	Co-expression	Burington-Shaughnessy-2008
BARD1	BRCA2	0.009301493	Co-expression	Burington-Shaughnessy-2008
BARD1	BRCA1	0.00859631	Co-expression	Burington-Shaughnessy-2008
RPL5	CCNG1	0.013548923	Co-expression	Bahr-Bowler-2013
MTBP	BRCA1	0.016264016	Co-expression	Mallon-McKay-2013
RPL5	SHFM1	0.0059556505	Co-expression	Mallon-McKay-2013
RPL5	RPL11	0.008992413	Co-expression	Mallon-McKay-2013
BARD1	TP53BP1	0.0058092945	Co-expression	Mallon-McKay-2013
PSMC3IP	BRCA1	0.008412758	Co-expression	Mallon-McKay-2013
PSMC3IP	RAD51	0.0065769525	Co-expression	Mallon-McKay-2013
PSMC3IP	PALB2	0.0045497566	Co-expression	Mallon-McKay-2013
PSMC3IP	MTBP	0.010122952	Co-expression	Mallon-McKay-2013
RAD51	BRCA1	0.008224218	Co-expression	Alizadeh-Staudt-2000
TOPBP1	BRCA2	0.008971645	Co-expression	Rieger-Chu-2004
TOPBP1	BRCA1	0.009390617	Co-expression	Rieger-Chu-2004
ATR	TOPBP1	0.0034876794	Co-expression	Rieger-Chu-2004
CCNG1	MDM2	0.0073514935	Co-expression	Smirnov-Cheung-2009
BRIP1	BRCA2	0.008016113	Co-expression	Smirnov-Cheung-2009
RPL5	RPL11	0.011347144	Co-expression	Smirnov-Cheung-2009
RPL11	CCNG1	0.002430508	Co-expression	Roth-Zlotnik-2006
RPL5	RPL11	0.005570099	Co-expression	Roth-Zlotnik-2006
TP53	RPL11	0.0047290567	Co-expression	Roth-Zlotnik-2006
TP53	BARD1	0.023238176	Co-expression	Roth-Zlotnik-2006
MND1	BRCA2	0.017194375	Co-expression	Roth-Zlotnik-2006
MND1	BRCA1	0.016781857	Co-expression	Roth-Zlotnik-2006
ATR	TOPBP1	0.009903808	Co-expression	Roth-Zlotnik-2006
TOPBP1	RAD51	0.017059097	Co-expression	Gysin-McMahon-2012
BRIP1	BRCA2	0.010377138	Co-expression	Gysin-McMahon-2012
RPL5	RPL11	0.013300224	Co-expression	Gysin-McMahon-2012
ATR	TOPBP1	0.010096467	Co-expression	Gysin-McMahon-2012
PSMC3IP	BRCA1	0.0154239	Co-expression	Gysin-McMahon-2012
RAD51	BRCA2	0.009573876	Co-expression	Innocenti-Brown-2011
TOPBP1	PALB2	0.010945143	Co-expression	Innocenti-Brown-2011
BRIP1	BRCA1	0.02142655	Co-expression	Innocenti-Brown-2011
BARD1	RAD51	0.011480963	Co-expression	Innocenti-Brown-2011
MND1	RAD51	0.008001665	Co-expression	Innocenti-Brown-2011
RAD51	BRCA1	0.021306617	Co-expression	Kang-Willman-2010
RPL11	CCNG1	0.0069780257	Co-expression	Kang-Willman-2010
BRIP1	BRCA2	0.02237782	Co-expression	Kang-Willman-2010
RPL5	RPL11	0.009701347	Co-expression	Kang-Willman-2010
BARD1	TOPBP1	0.014054577	Co-expression	Kang-Willman-2010
BARD1	BRIP1	0.015135561	Co-expression	Kang-Willman-2010
