,Task_Topology_Adjacency_And_Accessibility,Task_Topology_Common_Connection,Task_Topology_Find_Shortest_Path,Task_Topology_Find_Clusters,Task_Topology_Find_Connected_Components,Task_Topology_Find_Bridges,Task_Topology_Articulation_Points,Attribute_Bases_On_The_Nodes,Attribute_Based_On_The_Edges,Browsing_Follow_Path,Overview_Find_Patterns
Position,6.5,6,6.5,4,5.5,6,6,5.5,6,6.5,4.5
Position.1,8,8,8,4,5.5,8,8,8,7,8,4.5
Text,14,14,14,13,14,14,14,14,14,14,14
Text.1,9,9,9,4,2.5,9,9,9,10,9,11
Size.Area,6.5,6,6.5,12,7,7,7,7,8,6.5,4.5
Size.Area.1,1.5,1.5,1.5,4,2.5,1.5,1.5,1.5,1.5,1.5,4.5
Weight..Boldness,5,6,5,4,8.5,5,4.5,4,5,5,4.5
Saturation..Brightness,4,4,4,10.5,8.5,4,4.5,5.5,4,4,4.5
Saturation..Brightness.1,1.5,1.5,1.5,4,2.5,1.5,1.5,1.5,1.5,1.5,4.5
Color,13,13,13,14,13,13,13,13,12,13,11
Color.1,10,10,10.5,10.5,11,10,10,10,13,10.5,11
Shape..Icon,12,12,12,8.5,10,12,12,12,11,12,11
Shape..Icon.1,3,3,3,4,2.5,3,3,3,3,3,4.5
Enclosure..Connection,11,11,10.5,8.5,12,11,11,11,9,10.5,11
